"ACM SIGecom Exchanges,ACM SIGECOM EXCH,ASSOC COMPUTING MACHINERY,1551-9031,1551-9031,""COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS"",ESCI,107,0.6,Q4,0.13,0%,";
"ACM Transactions on Accessible Computing,ACM T ACCESS COMPUT,ASSOC COMPUTING MACHINERY,1936-7228,1936-7236,""COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS"",ESCI,599,2.5,Q3,0.52,4.94%,";
"ACM Transactions on Cyber-Physical Systems,ACM TRANS CYBER-PHYS,ASSOC COMPUTING MACHINERY,2378-962X,2378-9638,""COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS"",ESCI,528,2,Q3,0.47,3.85%,";
"ACM Transactions on Economics and Computation,ACM T ECON COMPUT,ASSOC COMPUTING MACHINERY,2167-8375,2167-8383,""COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS"",ESCI,279,1.1,Q4,0.21,2.08%,";
"ACM Transactions on Modeling and Computer Simulation,ACM T MODEL COMPUT S,ASSOC COMPUTING MACHINERY,1049-3301,1558-1195,""COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS"",SCIE,642,0.7,Q4,0.39,1.49%,";
Acque Sotterranee-Italian Journal of Groundwater,ACQUE SOTTER,PAGEPRESS PUBL,1828-454X,1828-454X,WATER RESOURCES,ESCI,139,0.8,Q4,0.21,81.54%,;
"ACS Applied Electronic Materials,ACS APPL ELECTRON MA,AMER CHEMICAL SOC,,2637-6113,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",SCIE,""10,033"",4.3,Q2,0.89,6.68%,";
"ACS Applied Energy Materials,ACS APPL ENERG MATER,AMER CHEMICAL SOC,2574-0962,,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",SCIE,""39,507"",5.4,Q2,0.93,6.43%,";
"ACS Applied Materials & Interfaces,ACS APPL MATER INTER,AMER CHEMICAL SOC,1944-8244,1944-8252,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",SCIE,""364,612"",8.3,Q1,1.4,6.13%,"; you agree to the data usage policy set forth in the Terms of Use ,,,,,,,,,,,,
"ACS Applied Materials & Interfaces,ACS APPL MATER INTER,AMER CHEMICAL SOC,1944-8244,1944-8252,NANOSCIENCE & NANOTECHNOLOGY,SCIE,""364,612"",8.3,Q1,1.4,6.13%,";
"ACS Applied Nano Materials,ACS APPL NANO MATER,AMER CHEMICAL SOC,,2574-0970,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",SCIE,""36,563"",5.3,Q2,0.85,6.01%,";
"ACS Applied Nano Materials,ACS APPL NANO MATER,AMER CHEMICAL SOC,,2574-0970,NANOSCIENCE & NANOTECHNOLOGY,SCIE,""36,563"",5.3,Q2,0.85,6.01%,";
"ACS Applied Polymer Materials,ACS APPL POLYM MATER,AMER CHEMICAL SOC,2637-6105,2637-6105,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",SCIE,""13,475"",4.4,Q2,0.9,7.93%,";
"ACS Catalysis,ACS CATAL,AMER CHEMICAL SOC,2155-5435,2155-5435,""CHEMISTRY, PHYSICAL"",SCIE,""130,342"",11.3,Q1,1.7,10.79%,";
"ACS Central Science,ACS CENTRAL SCI,AMER CHEMICAL SOC,2374-7943,2374-7951,""CHEMISTRY, MULTIDISCIPLINARY"",SCIE,""18,783"",12.7,Q1,2.72,72.39%,";
"ACS Chemical Neuroscience,ACS CHEM NEUROSCI,AMER CHEMICAL SOC,1948-7193,1948-7193,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,""12,344"",4.1,Q2,0.98,20.13%,";
"ACS Earth and Space Chemistry,ACS EARTH SPACE CHEM,AMER CHEMICAL SOC,2472-3452,2472-3452,""CHEMISTRY, MULTIDISCIPLINARY"",SCIE,""3,997"",2.9,Q2,0.7,10.89%,";
"ACS Energy Letters,ACS ENERGY LETT,AMER CHEMICAL SOC,2380-8195,2380-8195,""CHEMISTRY, PHYSICAL"",SCIE,""55,559"",19.3,Q1,2.82,11.57%,";
"ACS Energy Letters,ACS ENERGY LETT,AMER CHEMICAL SOC,2380-8195,2380-8195,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",SCIE,""55,559"",19.3,Q1,2.82,11.57%,";
"ACS Energy Letters,ACS ENERGY LETT,AMER CHEMICAL SOC,2380-8195,2380-8195,ELECTROCHEMISTRY,SCIE,""55,559"",19.3,Q1,2.82,11.57%,";
"ACS Energy Letters,ACS ENERGY LETT,AMER CHEMICAL SOC,2380-8195,2380-8195,ENERGY & FUELS,SCIE,""55,559"",19.3,Q1,2.82,11.57%,";
"ACS Energy Letters,ACS ENERGY LETT,AMER CHEMICAL SOC,2380-8195,2380-8195,NANOSCIENCE & NANOTECHNOLOGY,SCIE,""55,559"",19.3,Q1,2.82,11.57%,";
"ACS Materials Au,ACS MATER AU,AMER CHEMICAL SOC,2694-2461,2694-2461,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",ESCI,552,5.7,Q2,0.79,74.05%,";
"ACS Materials Letters,ACS MATER LETT,AMER CHEMICAL SOC,,2639-4979,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",SCIE,""8,571"",9.6,Q1,1.59,5.52%,";
"ACS Nano,ACS NANO,AMER CHEMICAL SOC,1936-0851,1936-086X,""CHEMISTRY, MULTIDISCIPLINARY"",SCIE,""227,757"",15.8,Q1,2.42,10.55%,";
"ACS Nano,ACS NANO,AMER CHEMICAL SOC,1936-0851,1936-086X,""CHEMISTRY, PHYSICAL"",SCIE,""227,757"",15.8,Q1,2.42,10.55%,";
"ACS Nano,ACS NANO,AMER CHEMICAL SOC,1936-0851,1936-086X,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",SCIE,""227,757"",15.8,Q1,2.42,10.55%,";
"ACS Nano,ACS NANO,AMER CHEMICAL SOC,1936-0851,1936-086X,NANOSCIENCE & NANOTECHNOLOGY,SCIE,""227,757"",15.8,Q1,2.42,10.55%,";
ACS Nanoscience Au,ACS NANOSCI AU,AMER CHEMICAL SOC,,2694-2496,NANOSCIENCE & NANOTECHNOLOGY,ESCI,319,4.8,Q2,0.38,78.79%,;
"ACS Omega,ACS OMEGA,AMER CHEMICAL SOC,2470-1343,2470-1343,""CHEMISTRY, MULTIDISCIPLINARY"",SCIE,""72,245"",3.7,Q2,0.67,70.65%,";
"ACS Organic & Inorganic Au,ACS ORG INORG AU,AMER CHEMICAL SOC,2694-247X,2694-247X,""CHEMISTRY, MULTIDISCIPLINARY"",ESCI,310,3.3,Q2,0.57,71.97%,";
"ACS Photonics,ACS PHOTONICS,AMER CHEMICAL SOC,2330-4022,,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",SCIE,""22,372"",6.5,Q1,1.36,17.96%,";
"ACS Photonics,ACS PHOTONICS,AMER CHEMICAL SOC,2330-4022,,NANOSCIENCE & NANOTECHNOLOGY,SCIE,""22,372"",6.5,Q2,1.36,17.96%,";
"ACS Sensors,ACS SENSORS,AMER CHEMICAL SOC,2379-3694,2379-3694,""CHEMISTRY, MULTIDISCIPLINARY"",SCIE,""20,803"",8.2,Q1,1.44,10.59%,";
"ACS Sensors,ACS SENSORS,AMER CHEMICAL SOC,2379-3694,2379-3694,NANOSCIENCE & NANOTECHNOLOGY,SCIE,""20,803"",8.2,Q1,1.44,10.59%,";
"ACS Sustainable Chemistry & Engineering,ACS SUSTAIN CHEM ENG,AMER CHEMICAL SOC,2168-0485,2168-0485,""CHEMISTRY, MULTIDISCIPLINARY"",SCIE,""95,522"",7.1,Q1,1.27,9.4%,";
"ACTA BIOCHIMICA ET BIOPHYSICA SINICA,ACTA BIOCH BIOPH SIN,SCIENCE PRESS,1672-9145,1745-7270,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,""5,355"",3.3,Q2,0.73,59.32%,";
"ACTA BIOCHIMICA POLONICA,ACTA BIOCHIM POL,ACTA BIOCHIMICA POLONICA,0001-527X,1734-154X,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,""3,159"",1.4,Q4,0.3,97.14%,";
"Acta Biomaterialia,ACTA BIOMATER,ELSEVIER SCI LTD,1742-7061,1878-7568,""ENGINEERING, BIOMEDICAL"",SCIE,""60,878"",9.4,Q1,1.7,27.88%,";
"Acta Biomaterialia,ACTA BIOMATER,ELSEVIER SCI LTD,1742-7061,1878-7568,""MATERIALS SCIENCE, BIOMATERIALS"",SCIE,""60,878"",9.4,Q1,1.7,27.88%,";
"Acta Chemica Iasi,ACTA CHEM IASI,""ALEXANDRU IOAN CUZA UNIV PRESS, Alexandru Ioan Cuza Univ Iasi"",2067-2438,2067-2446,""CHEMISTRY, MULTIDISCIPLINARY"",ESCI,75,0.4,Q4,0.06,100%,";
"ACTA CHIMICA SINICA,ACTA CHIM SINICA,SCIENCE PRESS,0567-7351,,""CHEMISTRY, MULTIDISCIPLINARY"",SCIE,""2,251"",1.7,Q3,0.26,0.4%,";
"Acta Chimica Slovaca,ACTA CHIM SLOVACA,SCIENDO,1337-978X,1339-3065,""CHEMISTRY, MULTIDISCIPLINARY"",ESCI,274,0.9,Q4,0.15,100%,";
"ACTA CHIMICA SLOVENICA,ACTA CHIM SLOV,SLOVENSKO KEMIJSKO DRUSTVO,1318-0207,1580-3155,""CHEMISTRY, MULTIDISCIPLINARY"",SCIE,""1,803"",1.2,Q3,0.23,90.94%,";
"Acta Crystallographica A-Foundation and Advances,ACTA CRYSTALLOGR A,INT UNION CRYSTALLOGRAPHY,2053-2733,2053-2733,""CHEMISTRY, MULTIDISCIPLINARY"",SCIE,""10,204"",1.9,Q3,0.46,39.74%,";
"Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,ACTA CRYSTALLOGR B,INT UNION CRYSTALLOGRAPHY,,2052-5206,""CHEMISTRY, MULTIDISCIPLINARY"",SCIE,""10,964"",1.3,Q3,0.56,28.57%,";
"ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,ACTA CRYSTALLOGR C,INT UNION CRYSTALLOGRAPHY,2053-2296,2053-2296,""CHEMISTRY, MULTIDISCIPLINARY"",SCIE,""10,308"",0.7,Q4,0.24,21.48%,";
"Acta Crystallographica Section D-Structural Biology,ACTA CRYSTALLOGR D,INT UNION CRYSTALLOGRAPHY,2059-7983,2059-7983,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,""19,850"",2.6,Q3,0.77,67.32%,";
"Acta Crystallographica Section F-Structural Biology Communications,ACTA CRYSTALLOGR F,INT UNION CRYSTALLOGRAPHY,,2053-230X,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,""1,855"",1.1,Q4,0.31,46.31%,";
"Acta Ecologica Sinica,ACTA ECOL SINICA,ELSEVIER,1872-2032,1872-2032,ECOLOGY,ESCI,""3,592"",4.7,Q1,0.77,1.56%,";
"ACTA GEOLOGICA SINICA-ENGLISH EDITION,ACTA GEOL SIN-ENGL,WILEY,1000-9515,1755-6724,""GEOSCIENCES, MULTIDISCIPLINARY"",SCIE,""6,980"",3.5,Q1,0.44,3.38%,";
"Acta Informatica Pragensia,ACTA INFORM PRAG,""UNIV ECONOMICS, PRAGUE"",,1805-4951,""COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS"",ESCI,55,0.8,Q4,0.29,98.59%,";
"ACTA MATERIALIA,ACTA MATER,PERGAMON-ELSEVIER SCIENCE LTD,1359-6454,1873-2453,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",SCIE,""113,518"",8.3,Q1,1.9,38.09%,";
"ACTA MECHANICA SOLIDA SINICA,ACTA MECH SOLIDA SIN,SPRINGER,0894-9166,1860-2134,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",SCIE,""1,630"",2.0,Q3,0.46,9.13%,";
"Acta Montanistica Slovaca,ACTA MONTAN SLOVACA,BERG FAC TECHNICAL UNIV KOSICE,1335-1788,,""GEOSCIENCES, MULTIDISCIPLINARY"",SCIE,809,2.2,Q2,0.65,71.92%,";
"ACTA NEUROPATHOLOGICA,ACTA NEUROPATHOL,SPRINGER,0001-6322,1432-0533,CLINICAL NEUROLOGY,SCIE,""25,777"",9.3,Q1,3.09,68.63%,";
"ACTA NEUROPATHOLOGICA,ACTA NEUROPATHOL,SPRINGER,0001-6322,1432-0533,NEUROSCIENCES,SCIE,""25,777"",9.3,Q1,3.09,68.63%,";
"ACTA NEUROPATHOLOGICA,ACTA NEUROPATHOL,SPRINGER,0001-6322,1432-0533,PATHOLOGY,SCIE,""25,777"",9.3,Q1,3.09,68.63%,";
"ACTA NUMERICA,ACTA NUMER,CAMBRIDGE UNIV PRESS,0962-4929,1474-0508,MATHEMATICS,SCIE,""2,887"",16.3,Q1,10.89,57.89%,";
"Acta Pharmaceutica Sinica B,ACTA PHARM SIN B,""INST MATERIA MEDICA, CHINESE ACAD MEDICAL SCIENCES"",2211-3835,2211-3843,PHARMACOLOGY & PHARMACY,SCIE,""16,222"",14.7,Q1,3.61,98.22%,";
"ACTA PHARMACOLOGICA SINICA,ACTA PHARMACOL SIN,NATURE PUBL GROUP,1671-4083,1745-7254,""CHEMISTRY, MULTIDISCIPLINARY"",SCIE,""15,928"",6.9,Q1,1.43,11.43%,";
"ACTA PHYSICO-CHIMICA SINICA,ACTA PHYS-CHIM SIN,PEKING UNIV PRESS,1000-6818,,""CHEMISTRY, PHYSICAL"",SCIE,""5,902"",10.8,Q1,1.13,0%,";
"Acta Polytechnica Hungarica,ACTA POLYTECH HUNG,BUDAPEST TECH,1785-8860,1785-8860,""ENGINEERING, MULTIDISCIPLINARY"",SCIE,""1,219"",1.4,Q2,0.53,29.77%,";
"Acta Polytechnica,ACTA POLYTECH,CZECH TECHNICAL UNIV PRAGUE,,1805-2363,""ENGINEERING, MULTIDISCIPLINARY"",ESCI,436,0.6,Q3,0.23,97.74%,";
Acta Scientiarum Polonorum-Formatio Circumiectus,ACTA SCI POL-FORM C,WYDAWNICTWO UNIWERSYTETU ROLNICZEGO HUGONA KOLLATAJA KRAKOWIE,1644-0765,1644-0765,ENVIRONMENTAL SCIENCES,ESCI,147,0.4,Q4,0.13,94.44%,;
"ACTA SCIENTIARUM-HEALTH SCIENCES,ACTA SCI-HEALTH SCI,""UNIV ESTADUAL MARINGA, PRO-REITORIA PESQUISA POS-GRADUACAO"",1679-9291,1807-8648,""PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"",ESCI,92,0.1,Q4,0.05,98.94%,";
"ADDICTION BIOLOGY,ADDICT BIOL,WILEY,1355-6215,1369-1600,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,""4,722"",3.1,Q3,0.8,31.93%,";
"Additive Manufacturing Letters,ADDIT MANUF LETT,ELSEVIER,2772-3690,2772-3690,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",ESCI,446,4.2,Q2,0.71,92.55%,";
"Additive Manufacturing,ADDIT MANUF,ELSEVIER,2214-8604,2214-7810,""ENGINEERING, MANUFACTURING"",SCIE,""38,388"",10.3,Q1,1.95,34.84%,";
"Additive Manufacturing,ADDIT MANUF,ELSEVIER,2214-8604,2214-7810,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",SCIE,""38,388"",10.3,Q1,1.95,34.84%,";
"Administration and Policy in Mental Health and Mental Health Services Research,ADM POLICY MENT HLTH,SPRINGER,0894-587X,1573-3289,""PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"",SSCI,""4,635"",2,Q3,0.7,29.09%,";
"Advanced Composites and Hybrid Materials,ADV COMPOS HYBRID MA,SPRINGERNATURE,2522-0128,2522-0136,""MATERIALS SCIENCE, COMPOSITES"",SCIE,""11,325"",23.2,Q1,3.23,4.01%,";
"Advanced Composites and Hybrid Materials,ADV COMPOS HYBRID MA,SPRINGERNATURE,2522-0128,2522-0136,NANOSCIENCE & NANOTECHNOLOGY,SCIE,""11,325"",23.2,Q1,3.23,4.01%,";
"ADVANCED DRUG DELIVERY REVIEWS,ADV DRUG DELIVER REV,ELSEVIER,0169-409X,1872-8294,PHARMACOLOGY & PHARMACY,SCIE,""47,365"",15.2,Q1,2.33,31.54%,";
"Advanced Electronic Materials,ADV ELECTRON MATER,WILEY,2199-160X,2199-160X,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",SCIE,""15,877"",5.3,Q2,0.9,47.14%,";
"Advanced Electronic Materials,ADV ELECTRON MATER,WILEY,2199-160X,2199-160X,NANOSCIENCE & NANOTECHNOLOGY,SCIE,""15,877"",5.3,Q2,0.9,47.14%,";
"Advanced Energy and Sustainability Research,ADV ENERG SUST RES,WILEY,2699-9412,2699-9412,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",ESCI,""2,130"",6.2,Q1,0.71,82.08%,";
"Advanced Energy and Sustainability Research,ADV ENERG SUST RES,WILEY,2699-9412,2699-9412,ENERGY & FUELS,ESCI,""2,130"",6.2,Q2,0.71,82.08%,";
"Advanced Energy Materials,ADV ENERGY MATER,WILEY-V C H VERLAG GMBH,1614-6832,1614-6840,""CHEMISTRY, PHYSICAL"",SCIE,""131,887"",24.4,Q1,3.6,18.53%,";
"Advanced Energy Materials,ADV ENERGY MATER,WILEY-V C H VERLAG GMBH,1614-6832,1614-6840,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",SCIE,""131,887"",24.4,Q1,3.6,18.53%,";
"Advanced Energy Materials,ADV ENERGY MATER,WILEY-V C H VERLAG GMBH,1614-6832,1614-6840,""PHYSICS, APPLIED"",SCIE,""131,887"",24.4,Q1,3.6,18.53%,";
"Advanced Energy Materials,ADV ENERGY MATER,WILEY-V C H VERLAG GMBH,1614-6832,1614-6840,""PHYSICS, CONDENSED MATTER"",SCIE,""131,887"",24.4,Q1,3.6,18.53%,";
"Advanced Energy Materials,ADV ENERGY MATER,WILEY-V C H VERLAG GMBH,1614-6832,1614-6840,ENERGY & FUELS,SCIE,""131,887"",24.4,Q1,3.6,18.53%,";
"ADVANCED ENGINEERING MATERIALS,ADV ENG MATER,WILEY-V C H VERLAG GMBH,1438-1656,1527-2648,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",SCIE,""19,177"",3.4,Q2,0.55,29.69%,";
"Advanced Fiber Materials,ADV FIBER MATER,SPRINGERNATURE,2524-7921,2524-793X,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",SCIE,""4,009"",17.2,Q1,3.35,6.18%,";
"Advanced Fiber Materials,ADV FIBER MATER,SPRINGERNATURE,2524-7921,2524-793X,""MATERIALS SCIENCE, TEXTILES"",SCIE,""4,009"",17.2,Q1,3.35,6.18%,";
"ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,WILEY-V C H VERLAG GMBH,1616-301X,1616-3028,""CHEMISTRY, MULTIDISCIPLINARY"",SCIE,""250,260"",18.5,Q1,2.74,13.91%,";
"ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,WILEY-V C H VERLAG GMBH,1616-301X,1616-3028,""CHEMISTRY, PHYSICAL"",SCIE,""250,260"",18.5,Q1,2.74,13.91%,";
"ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,WILEY-V C H VERLAG GMBH,1616-301X,1616-3028,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",SCIE,""250,260"",18.5,Q1,2.74,13.91%,";
"ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,WILEY-V C H VERLAG GMBH,1616-301X,1616-3028,""PHYSICS, APPLIED"",SCIE,""250,260"",18.5,Q1,2.74,13.91%,";
"ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,WILEY-V C H VERLAG GMBH,1616-301X,1616-3028,""PHYSICS, CONDENSED MATTER"",SCIE,""250,260"",18.5,Q1,2.74,13.91%,";
"ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,WILEY-V C H VERLAG GMBH,1616-301X,1616-3028,NANOSCIENCE & NANOTECHNOLOGY,SCIE,""250,260"",18.5,Q1,2.74,13.91%,";
"Advanced Healthcare Materials,ADV HEALTHC MATER,WILEY,2192-2640,2192-2659,""ENGINEERING, BIOMEDICAL"",SCIE,""33,225"",10.0,Q1,1.34,20.03%,";
"Advanced Healthcare Materials,ADV HEALTHC MATER,WILEY,2192-2640,2192-2659,""MATERIALS SCIENCE, BIOMATERIALS"",SCIE,""33,225"",10.0,Q1,1.34,20.03%,";
"Advanced Healthcare Materials,ADV HEALTHC MATER,WILEY,2192-2640,2192-2659,NANOSCIENCE & NANOTECHNOLOGY,SCIE,""33,225"",10.0,Q1,1.34,20.03%,";
"Advanced Industrial and Engineering Polymer Research,ADV IND ENG POLY RES,KEAI PUBLISHING LTD,2542-5048,2542-5048,""MATERIALS SCIENCE, COMPOSITES"",ESCI,""1,414"",9.9,Q1,1.3,78.05%,";
"Advanced Industrial and Engineering Polymer Research,ADV IND ENG POLY RES,KEAI PUBLISHING LTD,2542-5048,2542-5048,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",ESCI,""1,414"",9.9,Q1,1.3,78.05%,";
"Advanced Industrial and Engineering Polymer Research,ADV IND ENG POLY RES,KEAI PUBLISHING LTD,2542-5048,2542-5048,POLYMER SCIENCE,ESCI,""1,414"",9.9,Q1,1.3,78.05%,";
"ADVANCED MATERIALS & PROCESSES,ADV MATER PROCESS,ASM INT,0882-7958,2161-9425,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",SCIE,529,0.8,Q4,0.04,0%,";
"Advanced Materials Interfaces,ADV MATER INTERFACES,WILEY,2196-7350,2196-7350,""CHEMISTRY, MULTIDISCIPLINARY"",SCIE,""22,584"",4.3,Q2,0.74,41.55%,";
"Advanced Materials Interfaces,ADV MATER INTERFACES,WILEY,2196-7350,2196-7350,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",SCIE,""22,584"",4.3,Q2,0.74,41.55%,";
"Advanced Materials Technologies,ADV MATER TECHNOL-US,WILEY,2365-709X,2365-709X,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",SCIE,""18,469"",6.4,Q1,0.93,22.64%,";
"ADVANCED MATERIALS,ADV MATER,WILEY-V C H VERLAG GMBH,0935-9648,1521-4095,""CHEMISTRY, MULTIDISCIPLINARY"",SCIE,""392,263"",27.4,Q1,4.09,18.14%,";
"ADVANCED MATERIALS,ADV MATER,WILEY-V C H VERLAG GMBH,0935-9648,1521-4095,""CHEMISTRY, PHYSICAL"",SCIE,""392,263"",27.4,Q1,4.09,18.14%,";
"ADVANCED MATERIALS,ADV MATER,WILEY-V C H VERLAG GMBH,0935-9648,1521-4095,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",SCIE,""392,263"",27.4,Q1,4.09,18.14%,";
"ADVANCED MATERIALS,ADV MATER,WILEY-V C H VERLAG GMBH,0935-9648,1521-4095,""PHYSICS, APPLIED"",SCIE,""392,263"",27.4,Q1,4.09,18.14%,";
"ADVANCED MATERIALS,ADV MATER,WILEY-V C H VERLAG GMBH,0935-9648,1521-4095,""PHYSICS, CONDENSED MATTER"",SCIE,""392,263"",27.4,Q1,4.09,18.14%,";
"ADVANCED MATERIALS,ADV MATER,WILEY-V C H VERLAG GMBH,0935-9648,1521-4095,NANOSCIENCE & NANOTECHNOLOGY,SCIE,""392,263"",27.4,Q1,4.09,18.14%,";
Advanced NanoBiomed Research,ADV NANOBIOMED RES,WILEY-V C H VERLAG GMBH,2699-9307,2699-9307,NANOSCIENCE & NANOTECHNOLOGY,ESCI,922,4.0,Q2,0.47,79.6%,;
"Advanced Optical Materials,ADV OPT MATER,WILEY-V C H VERLAG GMBH,2195-1071,2195-1071,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",SCIE,""38,352"",8.0,Q1,1.75,16.01%,";
"Advanced Photonics Research,ADV PHOTON RES,WILEY,2699-9293,2699-9293,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",ESCI,""1,865"",3.7,Q2,0.7,84.53%,";
"Advanced Photonics,ADV PHOTONICS,SPIE-SOC PHOTO-OPTICAL INSTRUMENTATION ENGINEERS,,2577-5421,OPTICS,SCIE,""2,615"",20.6,Q1,3.39,100%,";
"Advanced Powder Materials,ADV POWDER MATER,KEAI PUBLISHING LTD,,2772-834X,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",ESCI,""1,723"",28.6,Q1,8.38,97.56%,";
"Advanced Science,ADV SCI,WILEY,,2198-3844,""CHEMISTRY, MULTIDISCIPLINARY"",SCIE,""79,296"",14.3,Q1,2.07,75.32%,";
"Advanced Science,ADV SCI,WILEY,,2198-3844,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",SCIE,""79,296"",14.3,Q1,2.07,75.32%,";
"Advanced Science,ADV SCI,WILEY,,2198-3844,NANOSCIENCE & NANOTECHNOLOGY,SCIE,""79,296"",14.3,Q1,2.07,75.32%,";
"Advanced Steel Construction,ADV STEEL CONSTR,HONG KONG INST STEEL CONSTRUCTION,1816-112X,,""ENGINEERING, CIVIL"",SCIE,558,1.7,Q3,0.38,0%,";
Advanced Steel Construction,ADV STEEL CONSTR,HONG KONG INST STEEL CONSTRUCTION,1816-112X,,CONSTRUCTION & BUILDING TECHNOLOGY,SCIE,558,1.7,Q3,0.38,0%,;
"Advanced Sustainable Systems,ADV SUSTAIN SYST,WILEY-V C H VERLAG GMBH,2366-7486,2366-7486,""MATERIALS SCIENCE, MULTIDISCIPLINARY"",SCIE,""4,398"",6.5,Q1,1.0,23%,";
